log_id,course_id,member_id,course_level,average_slope
1,30,4,3,15
2,23,13,5,20
3,24,10,1,3
4,23,7,5,20
5,6,10,2,12
6,23,9,5,20
7,31,14,3,15
8,28,6,5,25
9,30,5,3,15
10,28,1,5,25
11,31,9,3,15
12,23,10,5,20
13,1,14,2,10
14,24,5,1,3
15,27,9,4,18
16,6,13,2,12
17,29,8,3,15
18,3,10,1,8
19,24,11,1,3
20,5,1,2,7
21,29,11,3,15
22,6,2,2,12
23,30,9,3,15
24,28,11,5,25
25,5,4,2,7
26,3,4,1,8
27,5,14,2,7
28,27,13,4,18
29,5,1,2,7
30,5,13,2,7
31,4,6,3,15
32,27,4,4,18
33,24,7,1,3
34,5,6,2,7
35,28,5,5,25
36,30,10,3,15
37,5,5,2,7
38,5,2,2,7
39,24,10,1,3
40,2,14,1,5
41,6,13,2,12
42,30,2,3,15
43,3,11,1,8
44,24,13,1,3
45,30,7,3,15
46,30,2,3,15
47,28,13,5,25
48,1,1,2,10
49,2,13,1,5
50,29,6,3,15
51,1,6,2,10
52,27,10,4,18
53,27,11,4,18
54,27,2,4,18
55,24,11,1,3
56,4,9,3,15
57,24,6,1,3
58,31,1,3,15
59,6,14,2,12
60,28,10,5,25
61,31,5,3,15
62,31,4,3,15
63,6,1,2,12
64,23,13,5,20
65,24,4,1,3
66,5,1,2,7
67,2,7,1,5
68,30,6,3,15
69,1,11,2,10
70,31,1,3,15
71,6,14,2,12
72,1,7,2,10
73,29,11,3,15
74,6,14,2,12
75,2,9,1,5
76,28,8,5,25
77,3,2,1,8
78,31,5,3,15
79,4,7,3,15
80,28,2,5,25
81,4,11,3,15
82,2,6,1,5
83,27,4,4,18
84,30,1,3,15
85,4,11,3,15
86,1,2,2,10
87,28,9,5,25
88,28,1,5,25
89,2,9,1,5
90,4,9,3,15
91,29,14,3,15
92,27,10,4,18
93,29,1,3,15
94,23,13,5,20
95,28,1,5,25
96,31,2,3,15
97,29,7,3,15
98,30,11,3,15
99,28,5,5,25
100,5,11,2,7
101,24,2,1,3
102,30,2,3,15
103,29,7,3,15
104,24,10,1,3
105,1,14,2,10
106,1,7,2,10
107,3,14,1,8
108,5,14,2,7
109,31,8,3,15
110,3,7,1,8
111,1,13,2,10
112,30,11,3,15
113,23,8,5,20
114,4,7,3,15
115,28,10,5,25
116,6,11,2,12
